feature value,n_samples,precision,recall,fbeta
 Private,4605,0.9514824797843666,0.926509186351706,0.9388297872340425
 State-gov,246,0.9354838709677419,0.9508196721311475,0.943089430894309
 Local-gov,398,0.9047619047619048,0.9382716049382716,0.9212121212121211
 Self-emp-inc,225,0.975609756097561,0.9090909090909091,0.9411764705882352
 Self-emp-not-inc,480,0.9689922480620154,0.9328358208955224,0.9505703422053232
 Federal-gov,183,1.0,0.8604651162790697,0.9249999999999999
 ?,375,0.9759036144578314,0.9101123595505618,0.9418604651162792
 Without-pay,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Doctorate,85,0.9523809523809523,0.8695652173913043,0.909090909090909
 HS-grad,2050,0.9498956158663883,0.9362139917695473,0.9430051813471503
 Masters,348,0.935064935064935,0.8888888888888888,0.9113924050632912
 Bachelors,1108,0.9451476793248945,0.9256198347107438,0.9352818371607516
 11th,235,0.9642857142857143,0.9473684210526315,0.9557522123893805
 Some-college,1421,0.9637883008356546,0.9326145552560647,0.947945205479452
 9th,113,0.88,0.88,0.88
 Prof-school,118,0.9666666666666667,0.9354838709677419,0.9508196721311476
 10th,182,1.0,0.8867924528301887,0.9400000000000001
 Assoc-acdm,236,0.96875,0.9393939393939394,0.9538461538461539
 Assoc-voc,267,0.9344262295081968,0.890625,0.9120000000000001
 7th-8th,134,0.8888888888888888,0.8648648648648649,0.8767123287671232
 5th-6th,80,1.0,1.0,1.0
 12th,92,1.0,0.88,0.9361702127659575
 Preschool,14,1.0,1.0,1.0
 1st-4th,30,0.9166666666666666,1.0,0.9565217391304348
feature value,n_samples,precision,recall,fbeta
 Divorced,875,0.964824120603015,0.9411764705882353,0.9528535980148882
 Married-civ-spouse,3031,0.956343792633015,0.928476821192053,0.9422043010752689
 Never-married,2075,0.9492600422832981,0.9126016260162602,0.9305699481865285
 Separated,214,0.9285714285714286,0.9454545454545454,0.9369369369369368
 Widowed,232,0.9333333333333333,0.9180327868852459,0.9256198347107439
 Married-spouse-absent,79,0.9259259259259259,0.9615384615384616,0.9433962264150944
 Married-AF-spouse,7,1.0,0.5,0.6666666666666666
feature value,n_samples,precision,recall,fbeta
 Prof-specialty,806,0.9528795811518325,0.9191919191919192,0.93573264781491
 Tech-support,186,0.9722222222222222,0.9459459459459459,0.9589041095890412
 Exec-managerial,831,0.9435897435897436,0.9246231155778895,0.934010152284264
 Transport-moving,321,0.9302325581395349,0.963855421686747,0.9467455621301776
 Adm-clerical,747,0.9657142857142857,0.9337016574585635,0.949438202247191
 Craft-repair,813,0.9634703196347032,0.9504504504504504,0.9569160997732427
 Sales,748,0.9392265193370166,0.918918918918919,0.9289617486338799
 Other-service,667,0.9397590361445783,0.9122807017543859,0.9258160237388725
 Handlers-cleaners,285,0.9649122807017544,0.9322033898305084,0.9482758620689654
 Machine-op-inspct,393,0.9772727272727273,0.9347826086956522,0.9555555555555557
 ?,375,0.9759036144578314,0.9101123595505618,0.9418604651162792
 Priv-house-serv,33,0.7777777777777778,0.875,0.823529411764706
 Protective-serv,107,0.9523809523809523,0.8333333333333334,0.888888888888889
